# time (s),altitude (m),absolute velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),freestream velocity (m/s),angle of attack (rads),Mach,dynamic pressure (Pa),air pressure (Pa),air density (kg/m^3),air temperature (K)
1.799999999999997602e+00,4.369050048105418682e+01,4.591212513177345755e+01,2.568530457868200756e+01,9.952521765106013845e+03,2.770276347487529733e+02,4.559631561141378597e+01,3.047957118436872212e-02,1.346039329049130984e-01,1.098072250674890711e+03,8.657852179511306167e+04,1.056316804073946347e+00,2.855264351536715139e+02
1.824999999999997513e+00,4.484632760938256979e+01,4.655400122664828899e+01,2.567504288331248219e+01,9.952679898499702176e+03,2.769266330478567966e+02,4.624580881631726470e+01,3.310691254861044402e-02,1.365226387435431177e-01,1.129444882188776091e+03,8.656665655895798409e+04,1.056192935801670840e+00,2.855207863102831993e+02
1.849999999999997424e+00,4.601819829735904932e+01,4.719560805137299297e+01,2.566427198814999144e+01,9.952840223629022148e+03,2.768256313469606198e+02,4.689546166241584046e+01,3.562882357827810292e-02,1.384418733627138243e-01,1.161261640079357903e+03,8.655462687011992966e+04,1.056067353976538170e+00,2.855150569376975795e+02
1.874999999999997335e+00,4.720610567368566990e+01,4.783693437993087372e+01,2.565305204495765068e+01,9.953002738776851402e+03,2.767246296460644430e+02,4.754526961646426031e+01,3.804177177031777685e-02,1.403616242162412653e-01,1.193522309748514544e+03,8.654243285744014429e+04,1.055940060076338005e+00,2.855092470047756024e+02
1.899999999999997247e+00,4.841004259884357452e+01,4.847797060957909565e+01,2.564144798429668271e+01,9.953167442177289558e+03,2.766236279451682663e+02,4.819522917745288026e+01,4.034243040393987317e-02,1.422818818055561485e-01,1.226226712521392756e+03,8.653007465341915668e+04,1.055811055618597560e+00,2.855033564809403401e+02
1.924999999999997158e+00,4.963000172004103661e+01,4.911870887638579575e+01,2.562952935822091760e+01,9.953334332021333466e+03,2.765226262442720895e+02,4.884533784958804858e+01,4.252761775687293605e-02,1.442026396001188371e-01,1.259374707780415747e+03,8.651755239379219711e+04,1.055680342156131601e+00,2.854973853359808231e+02
1.949999999999997069e+00,5.086597550753504038e+01,4.975914316572816176e+01,2.561737013870544288e+01,9.953503406463076317e+03,2.764216245433759127e+02,4.949559423514423173e+01,4.459426973750082318e-02,1.461238943117366684e-01,1.292966201235034305e+03,8.650486621706320147e+04,1.055547921272162126e+00,2.854913335398363756e+02
1.974999999999996980e+00,5.211795630957931280e+01,5.039926941715003750e+01,2.560504849203420008e+01,9.953674663625793983e+03,2.763206228424797359e+02,5.014599798586192492e+01,4.653941475429183156e-02,1.480456457512945301e-01,1.327001146077610429e+03,8.649201626404905983e+04,1.055413794575549069e+00,2.854852010623839647e+02
1.999999999999996891e+00,5.338593639340251684e+01,5.103908562211417177e+01,2.559264649458559759e+01,9.953848101608813522e+03,2.762196211415835592e+02,5.079654984042834798e+01,4.836017619546417040e-02,1.499678969396396611e-01,1.361479548565544292e+03,8.647900267736265960e+04,1.055277963695383070e+00,2.854789878731959902e+02
2.024999999999996803e+00,5.466990800667554140e+01,5.167859191412389919e+01,2.558024982761906685e+01,9.954023718494912828e+03,2.761186194406873824e+02,5.144725161480665321e+01,5.005376338282393339e-02,1.518906540792816784e-01,1.396401471189727772e+03,8.646582560085930163e+04,1.055140430275187446e+00,2.854726939412823299e+02
2.049999999999996714e+00,5.596986342594027519e+01,5.231779064966046633e+01,2.556794740989433734e+01,9.954201512357280080e+03,2.760176177397912056e+02,5.209810620089171351e+01,5.161748407750407081e-02,1.538139265506824060e-01,1.431767036247773831e+03,8.645248517911345698e+04,1.055001195967450567e+00,2.854663192348426151e+02
2.074999999999996625e+00,5.728579501435160637e+01,5.295668647955447739e+01,2.555583101504253207e+01,9.954381481267353593e+03,2.759166160388950289e+02,5.274911754893270199e+01,5.304874024355103052e-02,1.557377268606387477e-01,1.467576428523814457e+03,8.643898155683130608e+04,1.054860262427480988e+00,2.854598637209901995e+02
2.099999999999996536e+00,5.861769528314471245e+01,5.359528640921268305e+01,2.554399482578769209e+01,9.954563623302958149e+03,2.758156143379988521e+02,5.340029065712312217e+01,5.434504187755332533e-02,1.576620706118384008e-01,1.503829898277706661e+03,8.642531487823922362e+04,1.054717631307011683e+00,2.854533273654628260e+02
