# time (s),altitude (m),velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),Mach,air density (kg/m^3)
2.025000000000000000e+01,5.463766054253770562e+03,3.987058369002077143e+02,1.918669481430328361e+01,6.825751424300595318e+03,1.676869060717472735e+02,1.234462840585379695e+00,7.090477494222023891e-01
2.050000000000000000e+01,5.564043528660654374e+03,4.035238804716713048e+02,1.927217428585442249e+01,6.836769981585859568e+03,1.670307853603678154e+02,1.251083825410797878e+00,7.014196018714897729e-01
2.075000000000000000e+01,5.665528229815002305e+03,4.083638010663378850e+02,1.935968237866640962e+01,6.847804125130043758e+03,1.663746646489883290e+02,1.267835946662090985e+00,6.937630161689687380e-01
2.100000000000000000e+01,5.768225675526583473e+03,4.132259376923523746e+02,1.944854650405804719e+01,6.858851086711154494e+03,1.657185439376088425e+02,1.284722343825246194e+00,6.860795196065941903e-01
2.125000000000000000e+01,5.872141505902800418e+03,4.181112572837907919e+02,1.954127836575358401e+01,6.869908114641355496e+03,1.650624232262293845e+02,1.301745669564210672e+00,6.783706494794100594e-01
2.150000000000000000e+01,5.977281661481208175e+03,4.230209733635073235e+02,1.963886431886616890e+01,6.880972454851344992e+03,1.644063025148499264e+02,1.318910599387157045e+00,6.706379495678658209e-01
2.175000000000000000e+01,6.083652401060810917e+03,4.279563705807015026e+02,1.974158886877670582e+01,6.892041356440587151e+03,1.637501818034704399e+02,1.336222645021616806e+00,6.628829569859460147e-01
2.200000000000000000e+01,6.191260307538225788e+03,4.329187695679746071e+02,1.984959594909233616e+01,6.903112090887945669e+03,1.630940610920909535e+02,1.353687607127493253e+00,6.551072013928104232e-01
2.225000000000000000e+01,6.300112348196131279e+03,4.379100820797839333e+02,1.996525004723719121e+01,6.914181953380108098e+03,1.624379403807114954e+02,1.371311467940194095e+00,6.473122051422139922e-01
2.250000000000000000e+01,6.410215964364669162e+03,4.429320119265275366e+02,2.008771938697445947e+01,6.925248262788749344e+03,1.617818196693320374e+02,1.389102156558887913e+00,6.394994795669791676e-01
2.275000000000000000e+01,6.521579026900771169e+03,4.479861342518339029e+02,2.021648930122547227e+01,6.936308367111566440e+03,1.611256989579525509e+02,1.407067028391675301e+00,6.316705194281889701e-01
2.300000000000000000e+01,6.634209762479412348e+03,4.530738850362444623e+02,2.035100313764221980e+01,6.947359651405929981e+03,1.604695782465730645e+02,1.425213114942307513e+00,6.238268071353489930e-01
2.325000000000000000e+01,6.748116759884675957e+03,4.581967256368420180e+02,2.049136240239032603e+01,6.958399531846947866e+03,1.598134575351936064e+02,1.443547089072950484e+00,6.159698188180460221e-01
2.350000000000000000e+01,6.863308976489836823e+03,4.633561435622629006e+02,2.063767170168351939e+01,6.969425447287346287e+03,1.591573368238141484e+02,1.462075789882619103e+00,6.081010246001647968e-01
2.375000000000000000e+01,6.979795714085643340e+03,4.685532653816306379e+02,2.078848727747094927e+01,6.980434859063707336e+03,1.585012161124346619e+02,1.480806229022194609e+00,6.002218888846908573e-01
2.400000000000000000e+01,7.097586540945669185e+03,4.737892175351623223e+02,2.094380861412673056e+01,6.991425250792671250e+03,1.578450954010551754e+02,1.499744355096131576e+00,5.923338727270708315e-01
2.425000000000000000e+01,7.216691322307113296e+03,4.790654064244865822e+02,2.110475555729693653e+01,7.002394125272652673e+03,1.571889746896757174e+02,1.518896203008569090e+00,5.844384396898307799e-01
